iter	Passed	Remaining
0	1	117
1	2	111
2	3	108
3	4	101
4	5	100
5	6	100
6	7	99
7	8	98
8	9	97
9	10	96
10	11	95
11	12	94
12	13	93
13	14	91
14	16	91
15	17	89
16	18	88
17	19	87
18	20	86
19	21	85
20	22	83
21	23	82
22	24	81
23	25	80
24	26	79
25	27	78
26	28	77
27	29	76
28	30	75
29	31	74
30	33	73
31	34	72
32	35	71
33	36	70
34	37	69
35	38	68
36	39	66
37	40	66
38	41	64
39	42	63
40	43	62
41	44	60
42	45	59
43	46	58
44	47	57
45	48	56
46	49	55
47	50	54
48	51	53
49	52	52
50	53	51
51	54	50
52	55	49
53	56	48
54	57	47
55	58	46
56	59	45
57	60	44
58	62	43
59	63	42
60	64	41
61	65	39
62	66	38
63	67	37
64	68	36
65	69	35
66	70	34
67	71	33
68	73	32
69	74	31
70	75	30
71	76	29
72	77	28
73	78	27
74	79	26
75	80	25
76	81	24
77	82	23
78	84	22
79	85	21
80	86	20
81	87	19
82	88	18
83	89	17
84	90	15
85	91	14
86	92	13
87	93	12
88	95	11
89	96	10
90	97	9
91	98	8
92	99	7
93	101	6
94	102	5
95	103	4
96	104	3
97	105	2
98	106	1
99	107	0
